x,y,z
582248.2151146218,5244013.1513024885,1692.2341612345406
582255.7412496429,5244015.512557442,1691.0778012279081
582274.14213069,5244015.428253267,1687.9957267121981
582291.6010967,5244028.670048962,1684.4570089332185
582302.8343254665,5244023.355927886,1682.718780698628
582313.3152438357,5244025.86383841,1680.0624408641577
582331.0167352926,5244028.576734403,1677.8092449431563
582352.8465216833,5244031.575155989,1672.5790824779847
582363.043978323,5244036.411408948,1672.120146564072
582383.133357173,5244041.859972123,1671.032267031426
582395.946974783,5244042.85100063,1669.1283903650656
582416.5420385737,5244049.428475619,1667.7405275364094
582428.0695684837,5244047.239338276,1664.8009248486067
582441.7892030464,5244047.439539681,1661.1989928596035
582454.0712181986,5244044.780244422,1657.9135286134265
582475.1081041597,5244042.591879073,1654.1719969783503
582486.7527277538,5244037.653162892,1651.6986421865554
582501.6366897403,5244033.841311712,1650.1995261724041
582513.1590870088,5244033.6290780585,1646.414431399539
582519.3350921877,5244031.731697469,1643.4540260973595
582520.9710748083,5244031.96535313,1642.4373592745503
582526.6620000078,5244032.0135944355,1638.1646932961812
582550.8023158554,5244032.219888563,1626.3235841330898
582561.7947634484,5244032.219888563,1617.3341921611354
582573.2576160636,5244032.246848322,1609.1232851463144
582581.0060337499,5244032.764420006,1606.9033926631587
582602.7985894823,5244032.785919837,1601.0500429238273
582617.7902772122,5244032.833144881,1584.3733181488415
582629.2758758998,5244033.037328851,1582.2915566731554
582648.8307796181,5244033.218337137,1578.722971900865
582659.902572441,5244033.980522717,1576.6937222047818
582684.3518140543,5244035.390549104,1570.7985326499277
582694.9324115426,5244036.037157928,1568.7012872468463
582705.9947143034,5244037.431965003,1559.9191824603688
582723.4624720514,5244038.741024779,1553.7372370922108
582731.6328162785,5244039.087321886,1552.312062279384
582760.0187313912,5244041.368182677,1547.5647301651213
582782.2405871964,5244036.789436272,1542.5712685671822
582796.1281575172,5244033.759749637,1540.7931330809022
582808.9667590677,5244023.425062629,1535.499387164909
582825.2593424963,5244020.377318948,1531.8156911974415
582833.5944286017,5244012.423207838,1527.0579321784444
582851.5700685389,5243996.40687506,1519.6064684865428
582857.0532496512,5243992.083668558,1518.087094351798
582879.4434456147,5243980.850354637,1511.6361519986544
582883.0538965756,5243978.612856845,1509.9860270951126
582889.6473458846,5243965.952367606,1506.468331396932
582901.6284870879,5243966.304201563,1502.5262478389109
582917.6220782243,5243960.929260909,1498.0843312773916
582919.0019303282,5243956.191071007,1495.4512809914522
582929.6254433019,5243945.598041387,1490.9369352459294
582947.0465683845,5243941.174021091,1487.2823577113675
582954.7238991873,5243928.728384895,1483.0618264399457
582960.994997275,5243917.987804443,1479.5681468630842
582979.6346688827,5243914.270796336,1474.0114077682815
582984.8691685532,5243907.501967249,1471.6073799450592
583000.1327871876,5243892.627348526,1465.5693200288229
583026.7647754923,5243877.535180746,1458.3987615572728
583039.7946721159,5243864.508925492,1456.456742034757
583048.933989702,5243861.1199650755,1452.291448233848
583057.5756971854,5243853.255232835,1447.6707618671576
583081.5346859117,5243839.2493262645,1439.0790616378995
583107.4584647475,5243823.824524161,1434.1160366501126
583117.497036959,5243811.003743181,1428.2411556063275
583126.6897229906,5243804.553956581,1422.5555735248774
583140.4648726512,5243796.523926582,1416.7907775273036
583151.6403629679,5243783.023506802,1411.4439913233655
583168.780224038,5243771.105505951,1404.7270643043476
583179.3144640521,5243756.005790702,1402.3787061356197
583180.798488787,5243753.637241876,1393.746315240799
583187.7524916665,5243749.218789624,1390.437835115864
583209.2507690657,5243730.66849,1383.5505141513622
583227.1148999276,5243710.096517432,1377.6785556382126
583230.0763629919,5243707.003247786,1373.8072716850284
583238.0453116997,5243700.526254423,1366.6768250868708
583257.7912309082,5243677.972897793,1363.7500000000005
583267.7133338916,5243667.120671792,1361.2967098930442
583288.0869000632,5243639.410204169,1349.1364333597553
583288.0918146382,5243637.653048728,1343.2468549060745
583305.0410289828,5243611.837619979,1336.2500000000005
583315.9881547543,5243598.221793295,1336.2500000000005
583363.3566192511,5243540.416902227,1336.2500000000005
583383.4368893662,5243531.403194931,1336.2500000000005
583442.7583297628,5243507.959183864,1336.2500000000005
